"","X","value","date","station","datatype","day","hour"
"253","2016-07-29 05:00:00",70,2016-07-29 01:00:00,"KPIT","Forecast",2016-07-29,1
"254","2016-07-29 06:00:00",69,2016-07-29 02:00:00,"KPIT","Forecast",2016-07-29,2
"255","2016-07-29 07:00:00",68,2016-07-29 03:00:00,"KPIT","Forecast",2016-07-29,3
"256","2016-07-29 08:00:00",68,2016-07-29 04:00:00,"KPIT","Forecast",2016-07-29,4
"257","2016-07-29 09:00:00",67,2016-07-29 05:00:00,"KPIT","Forecast",2016-07-29,5
"258","2016-07-29 10:00:00",67,2016-07-29 06:00:00,"KPIT","Forecast",2016-07-29,6
"259","2016-07-29 11:00:00",67,2016-07-29 07:00:00,"KPIT","Forecast",2016-07-29,7
"260","2016-07-29 12:00:00",69,2016-07-29 08:00:00,"KPIT","Forecast",2016-07-29,8
"261","2016-07-29 13:00:00",71,2016-07-29 09:00:00,"KPIT","Forecast",2016-07-29,9
"262","2016-07-29 14:00:00",74,2016-07-29 10:00:00,"KPIT","Forecast",2016-07-29,10
"263","2016-07-29 15:00:00",76,2016-07-29 11:00:00,"KPIT","Forecast",2016-07-29,11
"264","2016-07-29 16:00:00",79,2016-07-29 12:00:00,"KPIT","Forecast",2016-07-29,12
"265","2016-07-29 17:00:00",80,2016-07-29 13:00:00,"KPIT","Forecast",2016-07-29,13
"266","2016-07-29 18:00:00",82,2016-07-29 14:00:00,"KPIT","Forecast",2016-07-29,14
"267","2016-07-29 19:00:00",83,2016-07-29 15:00:00,"KPIT","Forecast",2016-07-29,15
"268","2016-07-29 20:00:00",83,2016-07-29 16:00:00,"KPIT","Forecast",2016-07-29,16
"269","2016-07-29 21:00:00",82,2016-07-29 17:00:00,"KPIT","Forecast",2016-07-29,17
"270","2016-07-29 22:00:00",82,2016-07-29 18:00:00,"KPIT","Forecast",2016-07-29,18
"271","2016-07-29 23:00:00",81,2016-07-29 19:00:00,"KPIT","Forecast",2016-07-29,19
"272","2016-07-30 00:00:00",79,2016-07-29 20:00:00,"KPIT","Forecast",2016-07-29,20
